iter	Passed	Remaining
872	84850	12343
873	84930	12243
874	85030	12147
875	85113	12048
876	85190	11948
877	85273	11848
878	85365	11751
879	85465	11654
880	85560	11556
881	85661	11460
882	85740	11360
883	85828	11262
884	85918	11164
885	86016	11067
886	86111	10970
887	86191	10871
888	86279	10772
889	86364	10674
890	86442	10574
891	86527	10476
892	86602	10376
893	86686	10278
894	86786	10181
895	86872	10083
896	86943	9983
897	87014	9883
898	87088	9784
899	87162	9684
900	87238	9585
901	87307	9485
902	87381	9386
903	87447	9286
904	87517	9186
905	87583	9087
906	87658	8988
907	87734	8889
908	87819	8791
909	87946	8698
910	88065	8603
911	88165	8507
912	88241	8408
913	88337	8311
914	88414	8213
915	88492	8115
916	88568	8016
917	88637	7917
918	88713	7819
919	88786	7720
920	88858	7621
921	88929	7523
922	89007	7425
923	89079	7326
924	89158	7229
925	89236	7131
926	89310	7033
927	89386	6935
928	89450	6836
929	89519	6738
930	89602	6640
931	89674	6542
932	89748	6444
933	89811	6346
934	89880	6248
935	89947	6150
936	90021	6052
937	90102	5955
938	90178	5858
939	90252	5760
940	90323	5663
941	90388	5565
942	90456	5467
943	90532	5370
944	90599	5273
945	90665	5175
946	90730	5077
947	90800	4980
948	90870	4883
949	90939	4786
950	91006	4689
951	91070	4591
952	91140	4494
953	91219	4398
954	91286	4301
955	91359	4204
956	91421	4107
957	91484	4010
958	91561	3914
959	91630	3817
960	91696	3721
961	91761	3624
962	91829	3528
963	91900	3431
964	91971	3335
965	92041	3239
966	92109	3143
967	92182	3047
968	92237	2950
969	92304	2854
970	92372	2758
971	92424	2662
972	92477	2566
973	92527	2469
974	92582	2373
975	92633	2277
976	92682	2181
977	92736	2086
978	92784	1990
979	92833	1894
980	92888	1799
981	92941	1703
982	92995	1608
983	93046	1512
984	93095	1417
985	93148	1322
986	93184	1227
987	93233	1132
988	93290	1037
989	93328	942
990	93366	847
991	93401	753
992	93439	658
993	93476	564
994	93513	469
995	93553	375
996	93588	281
997	93621	187
998	93654	93
999	93680	0
	0
