timestamp,notebook,model,feature_set,imbalance,seed,n_folds,pr_auc_mean,pr_auc_std,roc_auc_mean,pr_auc_folds,roc_auc_folds
2026-06-13T13:05:47,nb06,XGBoost,headline_pool,none,42,5,0.4051,0.0051,0.8164,"[0.408874, 0.395647, 0.404833, 0.410002, 0.406057]","[0.82032, 0.813262, 0.816961, 0.817364, 0.814248]"
2026-06-13T13:05:59,nb06,XGBoost,headline_pool,scale_pos_weight,42,5,0.4021,0.0042,0.8104,"[0.401879, 0.394802, 0.407737, 0.402423, 0.40344]","[0.814501, 0.806197, 0.811209, 0.810515, 0.809524]"
2026-06-13T13:06:20,nb06,XGBoost,headline_pool,SMOTENC,42,5,0.3497,0.0056,0.7839,"[0.355612, 0.354979, 0.351896, 0.344037, 0.342153]","[0.790879, 0.783817, 0.783381, 0.781113, 0.780162]"
2026-06-13T13:07:01,nb06,MLP,headline_pool,none,42,5,0.4309,0.0088,0.8294,"[0.433231, 0.414079, 0.437005, 0.438809, 0.431355]","[0.83212, 0.824115, 0.829651, 0.833652, 0.827437]"
2026-06-13T13:08:35,nb06,MLP,headline_pool,SMOTENC,42,5,0.3741,0.0052,0.7959,"[0.370898, 0.372103, 0.378031, 0.381988, 0.367419]","[0.793901, 0.793237, 0.797342, 0.803007, 0.791923]"
2026-06-13T13:14:23,nb06,LogReg-EN,fullpool_L1,none,42,5,0.422,0.008,0.8259,"[0.41972, 0.407751, 0.430713, 0.427113, 0.424521]","[0.828451, 0.821238, 0.826431, 0.830231, 0.823299]"
2026-06-13T13:16:10,nb06,LogReg-EN,fullpool_L1,class_weight,42,5,0.42,0.0076,0.8261,"[0.417995, 0.406604, 0.428647, 0.424945, 0.422017]","[0.828957, 0.821495, 0.826552, 0.830311, 0.823364]"
2026-06-13T13:16:15,nb06,LogReg-L2,fullpool_L1,none,42,5,0.4219,0.0077,0.8259,"[0.419505, 0.408302, 0.430562, 0.42665, 0.424519]","[0.828338, 0.821354, 0.82632, 0.830167, 0.823231]"
2026-06-13T13:16:23,nb06,LogReg-L2,fullpool_L1,class_weight,42,5,0.42,0.0076,0.8261,"[0.417983, 0.406569, 0.428587, 0.424792, 0.422197]","[0.828928, 0.821484, 0.826446, 0.83028, 0.823296]"
2026-06-13T13:18:22,nb06,RandomForest,fullpool_L1,none,42,5,0.3752,0.0082,0.7979,"[0.38118, 0.359603, 0.382676, 0.377136, 0.375198]","[0.801541, 0.79112, 0.79958, 0.799037, 0.798001]"
2026-06-13T13:20:26,nb06,RandomForest,fullpool_L1,class_weight,42,5,0.3678,0.0109,0.7956,"[0.377437, 0.347894, 0.378004, 0.367017, 0.368743]","[0.800563, 0.788369, 0.798209, 0.795672, 0.795434]"
2026-06-13T13:20:37,nb06,LightGBM,fullpool_L1,none,42,5,0.4293,0.0072,0.8282,"[0.434374, 0.41556, 0.433433, 0.434555, 0.428555]","[0.832294, 0.823508, 0.828544, 0.83131, 0.825449]"
2026-06-13T13:20:47,nb06,LightGBM,fullpool_L1,scale_pos_weight,42,5,0.4292,0.008,0.8275,"[0.43615, 0.414208, 0.435347, 0.432474, 0.427678]","[0.830731, 0.823434, 0.828343, 0.829646, 0.82521]"
2026-06-13T13:21:02,nb06,XGBoost,fullpool_L1,none,42,5,0.4028,0.0044,0.8164,"[0.406091, 0.395318, 0.403891, 0.407861, 0.401087]","[0.818861, 0.813536, 0.816626, 0.819191, 0.813855]"
2026-06-13T13:21:16,nb06,XGBoost,fullpool_L1,scale_pos_weight,42,5,0.401,0.0043,0.81,"[0.405482, 0.395339, 0.405522, 0.401832, 0.396703]","[0.813166, 0.806976, 0.812045, 0.809583, 0.808139]"
2026-06-13T13:21:59,nb06,MLP,fullpool_L1,none,42,5,0.431,0.0077,0.8292,"[0.430737, 0.417114, 0.439547, 0.436634, 0.430768]","[0.831432, 0.82496, 0.829953, 0.832575, 0.827196]"
2026-06-13T13:24:06,nb06,LogReg-EN,fullpool_EN,none,42,5,0.4193,0.0072,0.8237,"[0.418716, 0.405979, 0.426046, 0.425393, 0.420291]","[0.826044, 0.81932, 0.824118, 0.827887, 0.821373]"
2026-06-13T13:24:20,nb06,LogReg-EN,fullpool_EN,class_weight,42,5,0.4177,0.0069,0.8241,"[0.417213, 0.404955, 0.424335, 0.423469, 0.418306]","[0.826641, 0.819695, 0.82439, 0.828101, 0.821578]"
2026-06-13T13:24:23,nb06,LogReg-L2,fullpool_EN,none,42,5,0.4193,0.0072,0.8237,"[0.418746, 0.406025, 0.426017, 0.425424, 0.420385]","[0.826035, 0.819334, 0.824111, 0.827884, 0.821369]"
2026-06-13T13:24:25,nb06,LogReg-L2,fullpool_EN,class_weight,42,5,0.4177,0.0069,0.8241,"[0.417205, 0.404973, 0.424336, 0.423503, 0.418376]","[0.826671, 0.819697, 0.82439, 0.828086, 0.821546]"
2026-06-13T13:25:34,nb06,RandomForest,fullpool_EN,none,42,5,0.3576,0.0126,0.781,"[0.360977, 0.332677, 0.36679, 0.364842, 0.362478]","[0.785537, 0.76451, 0.784589, 0.787026, 0.783509]"
2026-06-13T13:26:42,nb06,RandomForest,fullpool_EN,class_weight,42,5,0.3536,0.0152,0.7678,"[0.361413, 0.323859, 0.366039, 0.359826, 0.356962]","[0.774029, 0.74648, 0.772573, 0.773878, 0.772046]"
2026-06-13T13:26:50,nb06,LightGBM,fullpool_EN,none,42,5,0.4216,0.0067,0.8244,"[0.421384, 0.409872, 0.429635, 0.426406, 0.420788]","[0.827407, 0.820218, 0.825468, 0.827269, 0.821877]"
2026-06-13T13:26:58,nb06,LightGBM,fullpool_EN,scale_pos_weight,42,5,0.4236,0.0068,0.8239,"[0.424407, 0.411264, 0.430507, 0.429205, 0.422391]","[0.826887, 0.819589, 0.824636, 0.826432, 0.821757]"
2026-06-13T13:27:07,nb06,XGBoost,fullpool_EN,none,42,5,0.4079,0.0072,0.819,"[0.404952, 0.396098, 0.416231, 0.4145, 0.407676]","[0.821175, 0.81502, 0.819948, 0.821894, 0.817046]"
2026-06-13T13:27:16,nb06,XGBoost,fullpool_EN,scale_pos_weight,42,5,0.4081,0.007,0.8144,"[0.406036, 0.397858, 0.416448, 0.415382, 0.404899]","[0.817043, 0.810001, 0.814515, 0.817288, 0.812949]"
2026-06-13T13:27:50,nb06,MLP,fullpool_EN,none,42,5,0.426,0.0087,0.8269,"[0.427539, 0.410133, 0.432253, 0.435126, 0.42478]","[0.829234, 0.822291, 0.827768, 0.831276, 0.823864]"
2026-06-15T14:08:23,nb04,Dummy,raw21,none,42,5,0.1393,0.0,0.5,"[0.139323, 0.139323, 0.139327, 0.139348, 0.139327]","[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-06-15T14:08:23,nb04,LogisticRegression,raw21,class_weight,42,5,0.4041,0.0076,0.8231,"[0.402241, 0.390539, 0.410095, 0.411822, 0.405939]","[0.825555, 0.818488, 0.823207, 0.827751, 0.820544]"
2026-06-15T14:08:23,nb04,LightGBM,raw21,scale_pos_weight,42,5,0.4343,0.0091,0.8302,"[0.4366, 0.417176, 0.441203, 0.442278, 0.4341]","[0.833691, 0.825191, 0.830655, 0.833388, 0.82785]"
2026-06-15T16:52:46,nb05,LogReg,raw21,class_weight,42,5,0.4041,0.0076,0.8231,"[0.402241, 0.390539, 0.410095, 0.411822, 0.405939]","[0.825555, 0.818488, 0.823207, 0.827751, 0.820544]"
2026-06-15T16:53:35,nb05,LightGBM,raw21,scale_pos_weight,42,5,0.4343,0.0091,0.8302,"[0.4366, 0.417176, 0.441203, 0.442278, 0.4341]","[0.833691, 0.825191, 0.830655, 0.833388, 0.82785]"
2026-06-15T16:55:57,nb05,LogReg,raw21 + count_hurdle,class_weight,42,5,0.4045,0.0077,0.8232,"[0.402613, 0.3906, 0.410716, 0.411873, 0.406529]","[0.825766, 0.818496, 0.82329, 0.827877, 0.820752]"
2026-06-15T16:56:45,nb05,LogReg,raw21 + composites,class_weight,42,5,0.4145,0.0082,0.8237,"[0.41262, 0.399853, 0.42255, 0.421291, 0.416319]","[0.825991, 0.819345, 0.824335, 0.827922, 0.821101]"
2026-06-15T16:57:32,nb05,LogReg,raw21 + interactions,class_weight,42,5,0.4085,0.007,0.8246,"[0.406586, 0.396056, 0.413825, 0.415969, 0.410293]","[0.82684, 0.820523, 0.824696, 0.829141, 0.822016]"
2026-06-15T16:58:18,nb05,LogReg,raw21 + flag,class_weight,42,5,0.4038,0.0076,0.823,"[0.401645, 0.390292, 0.409914, 0.411474, 0.405553]","[0.825419, 0.818043, 0.823228, 0.827789, 0.82042]"
2026-06-15T16:59:09,nb05,LightGBM,raw21 + count_hurdle,scale_pos_weight,42,5,0.4343,0.0091,0.8301,"[0.436574, 0.417176, 0.441203, 0.442278, 0.4341]","[0.833632, 0.825191, 0.830655, 0.833388, 0.82785]"
2026-06-15T16:59:58,nb05,LightGBM,raw21 + composites,scale_pos_weight,42,5,0.4339,0.0088,0.8301,"[0.436581, 0.417463, 0.441651, 0.440754, 0.432881]","[0.833282, 0.825775, 0.831401, 0.833154, 0.827028]"
2026-06-15T17:00:49,nb05,LightGBM,raw21 + interactions,scale_pos_weight,42,5,0.4337,0.0092,0.8302,"[0.434452, 0.416962, 0.443797, 0.439716, 0.433818]","[0.832854, 0.825618, 0.83147, 0.833175, 0.827899]"
2026-06-15T17:01:39,nb05,LightGBM,raw21 + flag,scale_pos_weight,42,5,0.4343,0.0091,0.8302,"[0.4366, 0.417176, 0.441203, 0.442278, 0.4341]","[0.833691, 0.825191, 0.830655, 0.833388, 0.82785]"
2026-06-15T17:02:24,nb05,LogReg,"raw21 (BMI raw, ref)",class_weight,42,5,0.4041,0.0076,0.8231,"[0.402241, 0.390539, 0.410095, 0.411822, 0.405939]","[0.825555, 0.818488, 0.823207, 0.827751, 0.820544]"
2026-06-15T17:03:55,nb05,LogReg,raw21 [BMI->capped],class_weight,42,5,0.4166,0.0074,0.8245,"[0.415286, 0.403117, 0.424138, 0.422573, 0.417775]","[0.826985, 0.819939, 0.824721, 0.829026, 0.821795]"
2026-06-15T17:04:40,nb05,LogReg,raw21 [BMI->cat],class_weight,42,5,0.4151,0.0081,0.8237,"[0.413301, 0.400416, 0.423476, 0.421262, 0.417122]","[0.825882, 0.819316, 0.82438, 0.827814, 0.82101]"
2026-06-15T17:05:24,nb05,LogReg,raw21 [BMI->who_onehot]+bmi_sq,class_weight,42,5,0.4146,0.008,0.8242,"[0.410863, 0.401278, 0.42424, 0.420202, 0.416344]","[0.826649, 0.81979, 0.824946, 0.828156, 0.821507]"
2026-06-15T17:06:14,nb05,LightGBM,"raw21 (BMI raw, ref)",scale_pos_weight,42,5,0.4343,0.0091,0.8302,"[0.4366, 0.417176, 0.441203, 0.442278, 0.4341]","[0.833691, 0.825191, 0.830655, 0.833388, 0.82785]"
2026-06-15T17:07:56,nb05,LightGBM,raw21 [BMI->capped],scale_pos_weight,42,5,0.4334,0.0094,0.8301,"[0.436685, 0.41531, 0.440551, 0.440792, 0.433879]","[0.833603, 0.825115, 0.830531, 0.83364, 0.827635]"
2026-06-15T17:08:47,nb05,LightGBM,raw21 [BMI->cat],scale_pos_weight,42,5,0.4312,0.0085,0.829,"[0.432916, 0.414993, 0.438216, 0.437977, 0.432117]","[0.831726, 0.824559, 0.830108, 0.832081, 0.826735]"
2026-06-15T17:09:36,nb05,LightGBM,raw21 [BMI->who_onehot]+bmi_sq,scale_pos_weight,42,5,0.4338,0.0091,0.8301,"[0.435964, 0.416262, 0.441054, 0.441056, 0.434511]","[0.833343, 0.825049, 0.830525, 0.833531, 0.82788]"
2026-06-15T17:10:21,nb05,LogReg,raw21 + bmi_squared,class_weight,42,5,0.4189,0.0075,0.8257,"[0.417455, 0.405506, 0.427492, 0.423558, 0.420719]","[0.828566, 0.820969, 0.826079, 0.829768, 0.823033]"
2026-06-15T17:11:09,nb05,LightGBM,raw21 + bmi_squared,scale_pos_weight,42,5,0.4343,0.0091,0.8302,"[0.4366, 0.417176, 0.441203, 0.442278, 0.4341]","[0.833691, 0.825191, 0.830655, 0.833388, 0.82785]"
2026-06-15T17:11:54,nb05,LogReg,union_pool,class_weight,42,5,0.4189,0.0074,0.8257,"[0.41746, 0.405555, 0.42739, 0.423539, 0.420583]","[0.828604, 0.820936, 0.826041, 0.829784, 0.823051]"
2026-06-15T17:12:42,nb05,LightGBM,union_pool,scale_pos_weight,42,5,0.4339,0.0088,0.8301,"[0.436581, 0.417463, 0.441651, 0.440754, 0.432881]","[0.833282, 0.825775, 0.831401, 0.833154, 0.827028]"
2026-06-15T17:13:29,nb05,LogReg,raw21 + all_additive,class_weight,42,5,0.4203,0.0075,0.8261,"[0.418622, 0.406634, 0.428327, 0.425231, 0.422545]","[0.828907, 0.821428, 0.826527, 0.830347, 0.823496]"
2026-06-15T17:14:17,nb05,LightGBM,raw21 + all_additive,scale_pos_weight,42,5,0.4338,0.0089,0.83,"[0.437133, 0.41718, 0.44201, 0.439818, 0.432828]","[0.833571, 0.825361, 0.830699, 0.833251, 0.827022]"
2026-06-15T23:36:10,nb07,LogReg-L2,headline_pool,none,42,5,0.4208,0.0077,0.8255,"[0.419231, 0.406824, 0.429449, 0.425476, 0.422958]",
2026-06-15T23:36:10,nb07,LightGBM,headline_pool,none,42,5,0.4371,0.0086,0.8314,"[0.439961, 0.420539, 0.444221, 0.443077, 0.437547]",
2026-06-15T23:36:10,nb07,MLP,headline_pool,none,42,5,0.4317,0.0075,0.8295,"[0.433597, 0.417434, 0.435859, 0.439357, 0.432121]",
2026-06-15T23:36:10,nb07,MLP+LightGBM_stack,headline_pool,none,42,5,0.4373,0.0083,,"[0.439708, 0.421383, 0.443133, 0.444594, 0.437723]",
2026-06-16T01:20:35,nb08,LightGBM_final_test,headline_pool,none,42,0,0.433,,0.8288,,
